"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"464854753919635456","464854579772137472","393627127","2014-05-09 19:49:44 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@samwelldesign @sevenfive_music @EricDutoo les hashtag tags illisibles","","","",""
"464842052422078464","","","2014-05-09 18:59:16 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ma fille regarde des épisodes de Trotro sur Youtube et entre, des pubs pour GTA5. Cc @sevenfive_music @samwelldesign @EricDutoo","","","",""
"464832190157950976","","","2014-05-09 18:20:04 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @prototypoApp: I've been rewriting this tweet for 15 minutes now… let's keep it simple: Prototypo is funded thanks to all of you! We're …","464802192575442945","1541173711","2014-05-09 16:20:52 +0000",""
"464809865278664704","","","2014-05-09 16:51:22 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Yay got my copy of HOLO magazine cc @creativeapps http://t.co/70bEPF8qys","","","","http://twitter.com/v3ga/status/464809865278664704/photo/1"
"464140508894593026","","","2014-05-07 20:31:35 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","La fiole et les middles. #uschartrons #kaaris #pacman —http://t.co/6ErvS9S57U cc @xavierjacono @samwelldesign","","","","http://bit.ly/1hxWfrR"
"464021366983761920","464015492164755457","288983016","2014-05-07 12:38:09 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","@xavierjacono Parfait pour sécher #swiffer #uschartrons","","","",""
"463454921783005184","463371480441827329","27857285","2014-05-05 23:07:18 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@vormplus check this http://t.co/e1i8vyw7St","","","","http://en.m.wikipedia.org/wiki/Flatland"
"463445003973722112","","","2014-05-05 22:27:54 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Allez plus que deux jours pour soutenir le @LeBootleg — http://t.co/FlTZK4qYAq #bordeaux","","","","http://bit.ly/1o07Jvs"
"463092986486980609","","","2014-05-04 23:09:06 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Harder better stronger faster than Flappy Bird : Chemtrail by @jankenpopp — http://t.co/dXSK6koZy3","","","","http://bit.ly/1nh75Hq"
"462154280259293184","","","2014-05-02 08:59:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Article (french) &amp; photos on Co:de/*sign; week @ Ésad Amiens — http://t.co/asBL0T4DKk — cc @motiondesign_01 @chevalvert","","","","http://bit.ly/1mjUamw"
"460532633207078913","","","2014-04-27 21:35:10 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MIT Open Documentary Lab —  http://t.co/vJxILB7hq6","","","","http://bit.ly/QMQzDY"
"460532482073313280","459807233560547328","515312865","2014-04-27 21:34:34 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@soixante15 Teenage Queen en php.","","","",""
"458275038962397185","","","2014-04-21 16:04:18 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Île d'Oléron, cailloux et umwelt.","","","",""
"458169491487485952","","","2014-04-21 09:04:53 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Visual Programming Languages - Snapshots — http://t.co/n4AOwGPc5A","","","","http://bit.ly/1mr7YNi"
"457132134848016385","","","2014-04-18 12:22:48 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Time to leave Amiens after a wonderful week at Ésad for #codesignamiens. cc @motiondesign_01 &amp; @andreasgysin http://t.co/nkvNFwWs5q","","","","http://twitter.com/v3ga/status/457132134848016385/photo/1"
"456839777778958336","456838497626648576","84339363","2014-04-17 17:01:05 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@chevalvert @motiondesign_01 on a frôlé l'écrasement :)","","","",""
"456836543265521664","","","2014-04-17 16:48:14 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","L'atelier Murmur à #codesignesad touche à sa fin,tests des tableaux sur le dispositif cc @chevalvert @motiondesign_01 http://t.co/gWCeO0uoiB","","","","http://twitter.com/v3ga/status/456836543265521664/photo/1"
"456495078077251585","","","2014-04-16 18:11:22 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Goodness, good times #codesignesad @motiondesign_01 @andreasgysin @BenoitWimart @lab_normals","","","",""
"456459310218752000","456459045692387328","49967990","2014-04-16 15:49:14 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Louis_Remi oui en revenant tout à l'heure. Je vous donne la mienne en même temps ahah!","","","",""
"456459097211404288","","","2014-04-16 15:48:24 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Frieder Nake is talking at #codesignesad on ""algorithmic thinking"" http://t.co/LDdG7yzYpO","","","","http://twitter.com/v3ga/status/456459097211404288/photo/1"
"456458245565984768","456456687113609216","49967990","2014-04-16 15:45:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Louis_Remi euuuuuuuh. Oui je suis pas malin là. Hum.","","","",""
"456454955042615296","456435387184185344","49967990","2014-04-16 15:31:56 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Louis_Remi workshop demain! Tu peux contacter @motiondesign_01 pour son adresse.","","","",""
"456413284733050880","","","2014-04-16 12:46:21 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @motiondesign_01: @andreasgysin sharing his insight on the early designs with some beautiful images and 'magical' explications. #codesig…","456411071960473600","13091752","2014-04-16 12:37:33 +0000",""
"456407122033803264","","","2014-04-16 12:21:52 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Talent, humilité et mystère : @andreasgysin démarre sa conférence #codesignesad","","","",""
"456344849118031872","","","2014-04-16 08:14:25 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ready to talk for my ""i=i+1"" conf. about computer history #codesignesad cc @BenoitWimart http://t.co/Nm3E7LXkQ6","","","","http://twitter.com/v3ga/status/456344849118031872/photo/1"
"456335059344048129","456328773592285184","223166622","2014-04-16 07:35:31 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@BenoitWimart @chevalvert cool! N'oublie pas ton crayon optique.","","","",""
"456223320338608128","","","2014-04-16 00:11:30 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","""Jeune, bronzé et fit"" @andreasgysin just arrived in Amiens for #codesignesad cc @motiondesign_01","","","",""
"456097607656693760","","","2014-04-15 15:51:58 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Frieder Nake just arrived in Amiens, using @prototypoApp cc @motiondesign_01 #codesignesad http://t.co/nAh0nK1YPL","","","","http://twitter.com/v3ga/status/456097607656693760/photo/1"
